production_cost,marketing_spend,seasonal_demand_index,competitor_price,customer_rating,economic_index,store_count,sales_revenue,product_category_encoded,region_encoded,customer_segment_encoded,promotion_applied_encoded
536.05,189.28,1.16,220.83,4.04,146.23,52,2293.14,2,0,0,1
352.7,255.92,1.55,467.22,4.11,104.26,35,1640.45,3,3,0,0
618.99,277.4,1.67,363.62,4.02,77.22,44,2173.09,1,2,0,0
339.96,153.56,1.41,209.85,4.15,128.28,15,1672.61,2,3,2,1
477.95,155.81,2.18,274.86,4.91,111.31,61,2443.22,2,3,2,1
473.54,211.52,0.89,373.81,2.98,107.56,44,1509.0,3,0,2,1
661.84,286.69,2.37,280.98,3.88,131.66,21,2032.61,1,3,0,0
473.9,203.01,1.84,394.26,3.53,77.25,77,2275.63,1,0,2,1
473.54,136.04,1.38,269.91,4.59,85.68,47,2118.5,2,1,1,1
363.69,169.71,1.38,293.71,3.93,111.89,75,2199.66,0,1,1,0
435.96,210.13,0.39,376.01,4.28,85.23,49,1992.01,2,0,2,0
418.27,212.01,1.08,348.27,4.71,93.68,53,2129.99,2,1,1,1
423.48,164.8,1.32,225.98,3.46,125.5,27,1700.91,2,2,1,0
500.63,168.71,1.59,334.72,3.74,108.66,31,1760.05,2,3,0,1
256.58,150.92,2.13,313.4,4.66,76.42,44,1891.68,3,2,2,0
348.98,257.06,2.52,227.06,3.44,108.16,32,1834.45,1,3,2,1
488.9,158.26,1.64,188.76,3.75,124.78,30,2041.17,3,1,0,1
512.13,176.76,1.6,145.49,3.2,103.43,18,1612.03,3,2,1,1
476.66,175.34,1.25,276.45,4.68,117.44,63,2373.47,3,1,1,1
495.92,119.7,0.64,295.68,3.71,89.66,16,1524.49,2,3,2,0
459.09,156.83,1.2,340.37,4.18,105.2,35,1917.04,0,0,1,0
498.15,261.41,1.4,365.64,4.34,68.46,62,2259.91,1,0,0,0
543.41,139.54,1.99,266.89,3.6,112.59,9,1790.24,0,2,0,0
542.71,151.82,1.76,293.35,3.05,107.2,62,1989.52,3,1,2,1
431.1,133.37,1.61,239.3,3.89,74.19,39,1869.98,3,1,0,1
591.51,195.47,1.21,306.98,3.88,130.42,51,2203.14,0,2,0,0
515.71,294.27,0.51,377.48,3.97,111.42,10,1575.67,0,0,2,0
623.22,193.37,0.54,308.09,3.97,86.15,52,2173.23,0,3,0,0
643.29,203.34,0.67,393.07,3.75,113.12,12,1809.65,3,2,0,0
355.73,160.23,1.35,376.14,3.73,80.31,72,1986.01,3,3,0,0
414.1,196.92,2.0,416.62,4.15,83.08,62,2195.59,1,0,1,1
581.35,261.45,1.98,310.34,3.59,80.42,3,1654.28,1,1,2,1
333.51,207.15,1.9,257.41,3.95,79.84,83,2161.69,3,0,2,1
642.02,306.59,1.24,349.7,3.72,108.75,11,1920.97,0,2,2,0
465.61,262.97,2.07,270.17,4.15,101.89,8,1725.45,0,1,1,0
557.5,195.68,1.03,347.19,4.55,114.96,90,2433.08,1,2,1,0
360.76,281.55,0.66,233.73,4.64,92.17,10,1798.9,1,0,1,1
605.55,206.87,0.91,397.32,3.83,92.45,18,1865.0,1,2,2,1
448.5,300.15,1.4,381.78,3.37,100.54,39,1674.33,2,1,0,1
467.76,189.79,1.16,346.88,3.83,104.56,26,1671.85,2,0,0,1
635.15,249.0,2.11,148.59,3.69,90.82,10,1943.91,3,0,1,0
591.18,238.38,1.28,418.85,3.69,92.01,3,1595.7,3,3,1,0
326.66,238.02,1.64,225.21,3.15,98.94,62,1852.23,3,3,0,0
293.51,133.33,1.57,376.25,3.33,110.09,71,1809.28,3,2,0,0
564.52,175.24,0.8,238.31,4.04,84.3,4,1660.69,0,0,1,1
574.5,260.72,1.97,353.49,4.24,83.24,61,2381.43,0,1,1,1
407.67,138.23,1.08,343.08,3.87,110.2,8,1488.86,2,2,1,0
